,from data,from config,to be defined,accounted,todo from data
dimensions,,,,,
-----------------,,,,,
time,x,,,x,
frequency,x,,,x,
n_sidebands,,x,,,
ir_wavelength,x,,,x,
,,,,,
,,,,,
variables,,,,,
-----------------,,,,,
time,x,,,x,
time_bounds,,,x,,
station_latitude,,,x,,
station_longitude,,,x,,
station_altitude,,,x,,
frequency,x,,,x,
bandwidth,,x,,,
sideband_count,,x,,,
sideband_IF_separation,,x,,,
beamwidth,,x,,,
freq_shift,,x,,,
tb,x,,,x,
azi,x,,,x,
ele,x,,,x,
tb_accuracy,,,x,,
tb_cov,,,x,,
quality_flag,x,x,,,x
t_amb,x,,,x,
t_rec,x,,,x,
ir_wavelength,x,,,x,
ir_bandwidth,,x,,,
ir_beamwidth,,x,,,
irt,x,,,x,
air_temperature,x,,,x,
relative_humidity,x,,,x,
air_pressure,x,,,x,
rain_rate,x,,,x,
wind_direction,x,,,x,
wind_speed,x,,,x,
met_valid_flag,,,x,,
,,,,,
,,,,,
global_attributes,,,,,
-----------------,,,,,
conventions,,x,,,
title,,x,,,
history,,x,,,
institution,,x,,,
source,,x,,,
comment,,x,,,
references,,x,,,
site_location,,x,,,
instrument_id,,x,,,
wigos_station_id,,x,,,
principal_investigator,,x,,,
instrument_manufacturer,,x,,,
instrument_model,,x,,,
instrument_generation,,x,,,
instrument_hw_id,,x,,,
network_name,,x,,,
campaign_name,,x,,,
dependencies,,x,,,
license,,x,,,
instrument_calibration_status,,,x,,
date_of_last_absolute_calibration,,,x,,
date_of_last_covariance_matrix,,,x,,
type_of_automatic_calibrations_performed,,,x,,
factory_history,,,x,,
ir_instrument_manufacturer,,x,,,
ir_instrument_model,,x,,,
ir_instrument_fabrication_year,,x,,,
met_instrument_manufacturer,,x,,,
met_instrument_model,,x,,,
met_instrument_fabrication_year,,x,,,
air_temperature_accuracy,,x,,,
relative_humidity_accuracy,,x,,,
air_pressure_accuracy,,x,,,
rain_rate_accuracy,,x,,,
wind_direction_accuracy,,x,,,
wind_speed_accuracy,,x,,,
